Region Name,Slug,List of companies
Texas,texas,longhorn-solar|texas-solar-professional-llc|lone-star-solar|nrg-clean-power|solar-sme-inc|integratesun-llc|demand-construction|alamo-solar|texas-solar-group|freedom-solar|native-solar|texas-solar-guys|sunny-side-solar|lighthouse-solar
Florida,florida,solar-optimum|public-service-solar-llc|integratesun-llc|sunshine-state-solar|florida-power-management|sunpower-by-solar-source|demand-construction|solar-bear|solar-ray|sunvault-solar
California,california,sunpower-solar|green-energy-solutions
